2012-12-27 15:35:17.023  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:43:24.402  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:46:32.577  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 18:24:45.681  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:14:18.740  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:24:31.459  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:31:19.863  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 21:27:59.751  INFO HelloWorldImpl:257 -  第 32 次执行 
2012-12-27 21:28:09.751  INFO HelloWorldImpl:257 -  第 33 次执行 
2012-12-27 21:28:19.751  INFO HelloWorldImpl:257 -  第 34 次执行 
2012-12-27 21:28:29.751  INFO HelloWorldImpl:257 -  第 35 次执行 
2012-12-27 21:28:39.752  INFO HelloWorldImpl:257 -  第 36 次执行 
2012-12-27 21:28:49.752  INFO HelloWorldImpl:257 -  第 37 次执行 
2012-12-27 21:28:59.752  INFO HelloWorldImpl:257 -  第 38 次执行 
2012-12-27 21:29:09.752  INFO HelloWorldImpl:257 -  第 39 次执行 
2012-12-27 21:29:19.753  INFO HelloWorldImpl:257 -  第 40 次执行 
2012-12-27 21:29:29.753  INFO HelloWorldImpl:257 -  第 41 次执行 
2012-12-27 21:29:39.753  INFO HelloWorldImpl:257 -  第 42 次执行 
2012-12-27 21:29:49.753  INFO HelloWorldImpl:257 -  第 43 次执行 
2012-12-27 21:29:59.753  INFO HelloWorldImpl:257 -  第 44 次执行 
2012-12-27 21:30:09.753  INFO HelloWorldImpl:257 -  第 45 次执行 
2012-12-27 21:30:19.753  INFO HelloWorldImpl:257 -  第 46 次执行 
2012-12-27 21:30:29.753  INFO HelloWorldImpl:257 -  第 47 次执行 
2012-12-27 21:30:39.753  INFO HelloWorldImpl:257 -  第 48 次执行 
2012-12-27 21:30:49.753  INFO HelloWorldImpl:257 -  第 49 次执行 
2012-12-27 21:30:59.753  INFO HelloWorldImpl:257 -  第 50 次执行 
2012-12-27 21:31:09.753  INFO HelloWorldImpl:257 -  第 51 次执行 
2012-12-27 21:31:19.753  INFO HelloWorldImpl:257 -  第 52 次执行 
2012-12-27 21:31:29.754  INFO HelloWorldImpl:257 -  第 53 次执行 
2012-12-27 21:31:39.754  INFO HelloWorldImpl:257 -  第 54 次执行 
2012-12-27 21:31:49.754  INFO HelloWorldImpl:257 -  第 55 次执行 
2012-12-27 21:31:59.755  INFO HelloWorldImpl:257 -  第 56 次执行 
2012-12-27 21:32:09.755  INFO HelloWorldImpl:257 -  第 57 次执行 
2012-12-27 21:32:19.755  INFO HelloWorldImpl:257 -  第 58 次执行 
2012-12-27 21:32:20.759  INFO HelloWorldImpl:125 - create index :field:id  value:500
2012-12-27 21:32:20.759  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
2012-12-27 21:32:20.761  INFO HelloWorldImpl:125 - create index :field:sex  value:0
2012-12-27 21:32:20.761  INFO HelloWorldImpl:125 - create index :field:name  value:屠洪纲
2012-12-27 21:32:20.761  INFO HelloWorldImpl:125 - create index :field:year  value:2012
2012-12-27 21:32:20.762  INFO HelloWorldImpl:135 - 内存文档数1
2012-12-27 21:32:20.813  INFO HelloWorldImpl:154 - queryString:屠
2012-12-27 21:32:29.764  INFO HelloWorldImpl:257 -  第 59 次执行 
2012-12-27 21:32:39.755  INFO HelloWorldImpl:257 -  第 60 次执行 
2012-12-27 21:32:49.755  INFO HelloWorldImpl:257 -  第 61 次执行 
2012-12-27 21:32:59.755  INFO HelloWorldImpl:257 -  第 62 次执行 
2012-12-27 21:33:09.755  INFO HelloWorldImpl:257 -  第 63 次执行 
2012-12-27 21:33:19.755  INFO HelloWorldImpl:257 -  第 64 次执行 
2012-12-27 21:33:29.755  INFO HelloWorldImpl:257 -  第 65 次执行 
2012-12-27 21:33:39.755  INFO HelloWorldImpl:257 -  第 66 次执行 
2012-12-27 21:33:49.755  INFO HelloWorldImpl:257 -  第 67 次执行 
2012-12-27 21:33:59.756  INFO HelloWorldImpl:257 -  第 68 次执行 
2012-12-27 21:34:09.756  INFO HelloWorldImpl:257 -  第 69 次执行 
